Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
3;0.0089126;0.0563116;0.0039361;0.0129499;0.0810744;0.0410366;0.0015738;0.085967;0.024267;0.0293154;0.0108404;0;0.0049065;0.0012136;0.0107196;0.0037067;0.2164648;0.0108858;0.1710274;0;0;0.0145795;0;0.0349526;0.0159377;0.038162;0.0848045;0.0048698
3;0.010005;0.0685393;0.0035021;0.0177466;0.0309115;0.0081895;0.002598;0.02392;0.0679837;0.0212278;0.0337919;0;0;0;0.0169178;0;0.0137909;0.0059668;0.4843596;0;0;0;0;0.0437754;0.0273517;0.0381354;0.0244395;0.0097492
3;0.0095049;0.0647356;0.0023287;0.0161789;0.0133333;0.0051327;0.0010612;0.048095;0.0429649;0.0381996;0.0211693;0;0.0015825;0;0.0252369;0.0021502;0.1004786;0.0066514;0.3007786;0;0;0.0104084;0;0.0439056;0.0243263;0.0342664;0.1365049;0.0096217
3;0.0065304;0.0365642;0.0019742;0.0107157;0.0553083;0.0457828;0.0017558;0.0409861;0.0220919;0.0363892;0.0113902;0;0.0087737;0;0.0113091;0.0029369;0.337427;0.0111189;0.1765235;0;0;0.0225764;0;0.0292573;0.0148522;0.0176009;0.0682561;0.0043089
3;0.0154827;0.050744;0.0031035;0.0197812;0.025534;0.0116598;0.0024018;0.0477719;0.0472946;0.0616911;0.0675567;0;0.0016668;0.0025928;0.0212436;0.0012555;0.0829231;0.0056731;0.3121656;0.0040161;0;0.0053605;0.0043579;0.0323519;0.0251949;0.0476402;0.0657675;0.0099404
3;0.0117804;0.0440401;0.001905;0.0132742;0.0187035;0.0063438;0.0031684;0.0364727;0.0348748;0.0468451;0.0168303;0.0083349;0;0;0.0135183;0.0014525;0.2593555;0.0076953;0.2269531;0;0;0.0307194;0.0032383;0.0296549;0.0282564;0.0375848;0.0764991;0.0102657
3;0.0217329;0.0588522;0.0079253;0.0230774;0.025099;0.0475486;0.0045352;0.1080908;0.0287153;0.0234786;0;0.0008637;0.0024654;0.0066191;0.0248417;0.0037274;0.0482818;0.0040812;0.1818488;0.0084223;0;0;0;0.0297758;0.0175328;0.0997232;0.0943288;0.0065977
4;0.0028095;0.0083238;0.0006676;0.0037401;0.0859305;0.1038623;0.0077704;0.0130166;0.014266;0.0192462;0;0.0020622;0.0128658;0.0055429;0.0019942;0.0035537;0.1940041;0.0483209;0.1841902;0.0084659;0.0031117;0.0256729;0.0108646;0.0095496;0.0066129;0.0370916;0.1683169;0.0022898
4;0.001787;0.0097322;0.0009246;0.0022505;0.061158;0.0814627;0.0134088;0.0044067;0.0044049;0.007915;0.0033414;0.002234;0.0215877;0.0055338;0.0022067;0.0020132;0.1866085;0.0226952;0.0638973;0.0154168;0.0034582;0.1056371;0.0075847;0.0064364;0.0050592;0.0215217;0.3272974;0.0015131
4;0.0024071;0.0007343;0;0.0007937;0.0334066;0.18501;0.0043447;0.003982;0.0038716;0.0176421;0;0.0037734;0.045279;0.007402;0.0058206;0.0029721;0.3084754;0.0457079;0.0567872;0.0140377;0.0095173;0.0880436;0.0051948;0.002889;0;0.0187744;0.1290561;0.0008233
